Abstract,Entities
j med internet res  sep e doi,[]
"designing a blockchainempowered telehealth artifact for decentralized identity 
management and trustworthy communication interdisciplinary approach","[{'word': 'block', 'entity': 'B-Detailed_description', 'score': 0.9236661}, {'word': '##chai', 'entity': 'I-Detailed_description', 'score': 0.59459794}, {'word': '##nem', 'entity': 'I-Therapeutic_procedure', 'score': 0.7822467}, {'word': '##powered', 'entity': 'B-Detailed_description', 'score': 0.99647576}, {'word': 'tel', 'entity': 'B-Therapeutic_procedure', 'score': 0.99991083}, {'word': '##eh', 'entity': 'I-Therapeutic_procedure', 'score': 0.99939215}, {'word': '##eal', 'entity': 'I-Therapeutic_procedure', 'score': 0.9847355}, {'word': '##th', 'entity': 'I-Therapeutic_procedure', 'score': 0.9995627}, {'word': 'decent', 'entity': 'B-Detailed_description', 'score': 0.9998789}, {'word': '##ral', 'entity': 'I-Detailed_description', 'score': 0.9860388}, {'word': '##ized', 'entity': 'I-Detailed_description', 'score': 0.8761984}, {'word': 'identity', 'entity': 'B-Therapeutic_procedure', 'score': 0.83925986}, {'word': 'management', 'entity': 'I-Therapeutic_procedure', 'score': 0.99687624}, {'word': 'trust', 'entity': 'B-Detailed_description', 'score': 0.99993575}, {'word': '##worthy', 'entity': 'I-Detailed_description', 'score': 0.9998895}, {'word': 'communication', 'entity': 'I-Detailed_description', 'score': 0.99976796}, {'word': 'interdisciplinary', 'entity': 'I-Detailed_description', 'score': 0.9987863}, {'word': 'approach', 'entity': 'I-Detailed_description', 'score': 0.99982387}]"
liang x alam n sultana t bandara e shetty s,"[{'word': 'liang', 'entity': 'B-Diagnostic_procedure', 'score': 0.82857656}, {'word': 'x', 'entity': 'B-Diagnostic_procedure', 'score': 0.52486074}, {'word': 'alam', 'entity': 'I-Detailed_description', 'score': 0.36468008}, {'word': 'sultan', 'entity': 'B-Detailed_description', 'score': 0.28373936}, {'word': 'she', 'entity': 'B-Coreference', 'score': 0.22463453}]"
"author information
florida international university miami fl united states
troy university troy al united states
old dominion university suffolk va united states","[{'word': 'florida', 'entity': 'B-Detailed_description', 'score': 0.2562916}, {'word': 'international', 'entity': 'I-Biological_structure', 'score': 0.20650673}, {'word': 'university', 'entity': 'I-History', 'score': 0.28677756}, {'word': 'miami', 'entity': 'B-Other_event', 'score': 0.22135705}, {'word': 'fl', 'entity': 'B-Other_event', 'score': 0.21438165}, {'word': 'united', 'entity': 'B-Diagnostic_procedure', 'score': 0.23232129}, {'word': 'states', 'entity': 'B-Biological_structure', 'score': 0.124017045}, {'word': 'troy', 'entity': 'B-Detailed_description', 'score': 0.9229272}, {'word': 'university', 'entity': 'I-History', 'score': 0.07751726}, {'word': 'troy', 'entity': 'B-Detailed_description', 'score': 0.8735021}, {'word': 'al', 'entity': 'B-Lab_value', 'score': 0.47288632}, {'word': 'united', 'entity': 'B-Biological_structure', 'score': 0.2344277}, {'word': 'states', 'entity': 'I-Detailed_description', 'score': 0.17364185}, {'word': 'old', 'entity': 'B-Nonbiological_location', 'score': 0.47528568}, {'word': 'dominion', 'entity': 'B-Nonbiological_location', 'score': 0.17220524}, {'word': 'university', 'entity': 'I-Nonbiological_location', 'score': 0.51997036}, {'word': 'suffolk', 'entity': 'B-Detailed_description', 'score': 0.63847435}, {'word': 'va', 'entity': 'B-Diagnostic_procedure', 'score': 0.14492497}, {'word': 'united', 'entity': 'B-Biological_structure', 'score': 0.16621478}, {'word': 'states', 'entity': 'B-Diagnostic_procedure', 'score': 0.13157311}]"
"background telehealth played a critical role during the covid pandemic and 
continues to function as an essential component of health care existing 
platforms cannot ensure privacy and prevent cyberattacks
objective the main objectives of this study are to understand existing 
cybersecurity issues in identity management and trustworthy communication 
processes in telehealth platforms and to design a software architecture 
integrated with blockchain to improve security and trustworthiness with 
acceptable performance
methods we improved personal information security in existing telehealth 
platforms by adopting an innovative interdisciplinary approach combining design 
science social science and computer science in the health care domain with 
prototype implementation we used the design science research methodology to 
implement our overall design we innovated over existing telehealth platforms 
with blockchain integration that improves health care delivery services in terms 
of security privacy and efficiency we adopted a usercentric design approach 
and started with user requirement collection followed by system functionality 
development overall system implementation facilitates user requirements thus 
promoting user behavior for the adoption of the telehealth platform with 
decentralized identity management and an access control mechanism
results our investigation identified key challenges to identity management and 
trustworthy communication processes in telehealth platforms used in the current 
health care domain by adopting distributed ledger technology we proposed a 
decentralized telehealth platform to support identity management and a 
trustworthy communication process our design and prototype implementation using 
a smart contractdriven telehealth platform to provide decentralized identity 
management and trustworthy communication with tokenbased access control 
addressed several security challenges this was substantiated by testing with 
 simulated transactions across  peers in the rahasak blockchain network 
the proposed design provides resistance to common attacks while maintaining a 
linear time overhead demonstrating improved security and efficiency in 
telehealth services we evaluated the performance in terms of transaction 
throughput smart contract execution time and block generation time to create 
a block with  transactions it takes  seconds on average which is an 
acceptable overhead for blockchainbased applications
conclusions we identified technical limitations in current telehealth 
platforms we presented several design innovations using blockchain to prototype 
a system we also presented the implementation details of a unique distributed 
architecture for a trustworthy communication system we illustrated how this 
design can overcome privacy security and scalability limitations moreover we 
illustrated how improving these factors sets the stage for improving and 
standardizing the application and for the wide adoption of blockchainenabled 
telehealth platforms","[{'word': 'tel', 'entity': 'B-Diagnostic_procedure', 'score': 0.5828407}, {'word': '##eh', 'entity': 'I-Diagnostic_procedure', 'score': 0.82833207}, {'word': '##eal', 'entity': 'I-Diagnostic_procedure', 'score': 0.9044216}, {'word': '##th', 'entity': 'I-Diagnostic_procedure', 'score': 0.4635982}, {'word': 'pan', 'entity': 'I-Coreference', 'score': 0.75712377}, {'word': '##de', 'entity': 'I-Coreference', 'score': 0.42984134}, {'word': '##mic', 'entity': 'I-Disease_disorder', 'score': 0.5943147}, {'word': 'cyber', 'entity': 'B-Sign_symptom', 'score': 0.9993824}, {'word': '##att', 'entity': 'I-Sign_symptom', 'score': 0.99900216}, {'word': '##ack', 'entity': 'I-Sign_symptom', 'score': 0.9990694}, {'word': '##s', 'entity': 'I-Sign_symptom', 'score': 0.9898061}, {'word': 'identity', 'entity': 'B-Sign_symptom', 'score': 0.40241784}, {'word': 'management', 'entity': 'I-Sign_symptom', 'score': 0.72298294}, {'word': '##worthy', 'entity': 'I-Sign_symptom', 'score': 0.8636673}, {'word': 'communication', 'entity': 'I-Sign_symptom', 'score': 0.8972329}, {'word': 'processes', 'entity': 'I-Sign_symptom', 'score': 0.6662479}, {'word': 'tel', 'entity': 'B-Therapeutic_procedure', 'score': 0.55478185}, {'word': '##eh', 'entity': 'I-Coreference', 'score': 0.84792477}, {'word': '##eal', 'entity': 'I-Coreference', 'score': 0.9198169}, {'word': '##th', 'entity': 'I-Coreference', 'score': 0.9135252}, {'word': 'block', 'entity': 'B-Detailed_description', 'score': 0.9460183}, {'word': '##chai', 'entity': 'I-Detailed_description', 'score': 0.9993325}, {'word': '##n', 'entity': 'I-Detailed_description', 'score': 0.9989416}, {'word': 'personal', 'entity': 'B-Diagnostic_procedure', 'score': 0.9965114}, {'word': 'information', 'entity': 'I-Diagnostic_procedure', 'score': 0.9948191}, {'word': 'security', 'entity': 'I-Diagnostic_procedure', 'score': 0.9805848}, {'word': 'tel', 'entity': 'B-Coreference', 'score': 0.5732168}, {'word': '##eal', 'entity': 'B-Coreference', 'score': 0.40734342}, {'word': '##th', 'entity': 'I-Coreference', 'score': 0.96339875}, {'word': 'design', 'entity': 'B-Diagnostic_procedure', 'score': 0.99820495}, {'word': 'science', 'entity': 'I-Diagnostic_procedure', 'score': 0.98347867}, {'word': 'science', 'entity': 'I-Diagnostic_procedure', 'score': 0.9962366}, {'word': 'computer', 'entity': 'B-Diagnostic_procedure', 'score': 0.99956995}, {'word': 'science', 'entity': 'I-Diagnostic_procedure', 'score': 0.9966035}, {'word': 'tel', 'entity': 'B-Therapeutic_procedure', 'score': 0.94545656}, {'word': '##eh', 'entity': 'I-Coreference', 'score': 0.55412495}, {'word': '##eal', 'entity': 'I-Detailed_description', 'score': 0.5611833}, {'word': '##th', 'entity': 'I-Coreference', 'score': 0.63060325}, {'word': 'block', 'entity': 'B-Detailed_description', 'score': 0.9759518}, {'word': '##chai', 'entity': 'I-Detailed_description', 'score': 0.9989598}, {'word': '##n', 'entity': 'I-Detailed_description', 'score': 0.9981383}, {'word': 'integration', 'entity': 'I-Detailed_description', 'score': 0.99426585}, {'word': 'health', 'entity': 'B-Diagnostic_procedure', 'score': 0.6171691}, {'word': 'user', 'entity': 'B-Detailed_description', 'score': 0.9996112}, {'word': '##centric', 'entity': 'I-Detailed_description', 'score': 0.99365246}, {'word': 'tel', 'entity': 'B-Therapeutic_procedure', 'score': 0.68104774}, {'word': '##eh', 'entity': 'I-Coreference', 'score': 0.6866298}, {'word': '##eal', 'entity': 'I-Coreference', 'score': 0.8148569}, {'word': '##th', 'entity': 'I-Coreference', 'score': 0.91687936}, {'word': 'decent', 'entity': 'B-Detailed_description', 'score': 0.99931467}, {'word': '##ral', 'entity': 'I-Detailed_description', 'score': 0.99730885}, {'word': '##ized', 'entity': 'I-Detailed_description', 'score': 0.9995079}, {'word': 'identity', 'entity': 'I-Detailed_description', 'score': 0.9950598}, {'word': 'management', 'entity': 'I-Detailed_description', 'score': 0.96820223}, {'word': 'control', 'entity': 'I-Detailed_description', 'score': 0.78383905}, {'word': 'mechanism', 'entity': 'I-Detailed_description', 'score': 0.8893897}, {'word': 'management', 'entity': 'I-Sign_symptom', 'score': 0.87807465}, {'word': '##worthy', 'entity': 'I-Sign_symptom', 'score': 0.72094005}, {'word': 'communication', 'entity': 'I-Sign_symptom', 'score': 0.80784357}, {'word': 'processes', 'entity': 'I-Sign_symptom', 'score': 0.82279336}, {'word': 'tel', 'entity': 'B-Coreference', 'score': 0.4786701}, {'word': '##eh', 'entity': 'I-Coreference', 'score': 0.8590071}, {'word': '##eal', 'entity': 'I-Coreference', 'score': 0.8999687}, {'word': '##th', 'entity': 'I-Coreference', 'score': 0.875422}, {'word': 'distributed', 'entity': 'B-Detailed_description', 'score': 0.96434194}, {'word': 'ledger', 'entity': 'I-Detailed_description', 'score': 0.9943381}, {'word': 'technology', 'entity': 'I-Detailed_description', 'score': 0.99822766}, {'word': 'decent', 'entity': 'B-Detailed_description', 'score': 0.5377066}, {'word': 'tel', 'entity': 'B-Therapeutic_procedure', 'score': 0.9379828}, {'word': '##eh', 'entity': 'I-Therapeutic_procedure', 'score': 0.857626}, {'word': '##eal', 'entity': 'I-Therapeutic_procedure', 'score': 0.7630584}, {'word': '##th', 'entity': 'I-Therapeutic_procedure', 'score': 0.6159767}, {'word': 'management', 'entity': 'I-Sign_symptom', 'score': 0.58976537}, {'word': 'process', 'entity': 'I-Sign_symptom', 'score': 0.33424702}, {'word': 'smart', 'entity': 'B-Detailed_description', 'score': 0.9884986}, {'word': 'contract', 'entity': 'I-Detailed_description', 'score': 0.99939823}, {'word': '##drive', 'entity': 'I-Detailed_description', 'score': 0.9996762}, {'word': '##n', 'entity': 'I-Detailed_description', 'score': 0.9996748}, {'word': 'tel', 'entity': 'I-Detailed_description', 'score': 0.9982338}, {'word': '##eh', 'entity': 'I-Detailed_description', 'score': 0.9991819}, {'word': '##eal', 'entity': 'I-Detailed_description', 'score': 0.99949086}, {'word': '##th', 'entity': 'I-Detailed_description', 'score': 0.9981469}, {'word': 'platform', 'entity': 'I-Detailed_description', 'score': 0.990424}, {'word': 'management', 'entity': 'I-Diagnostic_procedure', 'score': 0.43969098}, {'word': 'token', 'entity': 'B-Diagnostic_procedure', 'score': 0.58296263}, {'word': '##base', 'entity': 'I-Coreference', 'score': 0.37036112}, {'word': '##d', 'entity': 'I-Coreference', 'score': 0.35429835}, {'word': 'access', 'entity': 'I-Coreference', 'score': 0.351277}, {'word': 'control', 'entity': 'I-Coreference', 'score': 0.48697296}, {'word': '##ak', 'entity': 'I-Coreference', 'score': 0.7954696}, {'word': 'block', 'entity': 'I-Coreference', 'score': 0.6125403}, {'word': '##chai', 'entity': 'I-Coreference', 'score': 0.4929384}, {'word': '##n', 'entity': 'I-Coreference', 'score': 0.59624434}, {'word': 'network', 'entity': 'I-Coreference', 'score': 0.979759}, {'word': 'attacks', 'entity': 'I-Detailed_description', 'score': 0.7610982}, {'word': 'time', 'entity': 'I-Detailed_description', 'score': 0.9613559}, {'word': 'overhead', 'entity': 'I-Detailed_description', 'score': 0.9328447}, {'word': 'improved', 'entity': 'B-Lab_value', 'score': 0.97048193}, {'word': 'tel', 'entity': 'B-Therapeutic_procedure', 'score': 0.97766715}, {'word': '##eh', 'entity': 'I-Therapeutic_procedure', 'score': 0.74438184}, {'word': '##eal', 'entity': 'I-Therapeutic_procedure', 'score': 0.47679803}, {'word': '##th', 'entity': 'I-Coreference', 'score': 0.62343174}, {'word': 'transaction', 'entity': 'B-Diagnostic_procedure', 'score': 0.6550925}, {'word': 'through', 'entity': 'I-Detailed_description', 'score': 0.76589185}, {'word': '##put', 'entity': 'I-Detailed_description', 'score': 0.8601019}, {'word': 'contract', 'entity': 'I-Detailed_description', 'score': 0.70222205}, {'word': 'generation', 'entity': 'I-Detailed_description', 'score': 0.73139125}, {'word': 'block', 'entity': 'B-Coreference', 'score': 0.95734507}, {'word': 'transactions', 'entity': 'B-Detailed_description', 'score': 0.5759466}, {'word': 'it', 'entity': 'I-Detailed_description', 'score': 0.50490004}, {'word': 'takes', 'entity': 'I-Detailed_description', 'score': 0.99985325}, {'word': 'seconds', 'entity': 'I-Detailed_description', 'score': 0.9998324}, {'word': 'on', 'entity': 'I-Detailed_description', 'score': 0.9997347}, {'word': 'average', 'entity': 'I-Detailed_description', 'score': 0.9996958}, {'word': 'block', 'entity': 'B-Coreference', 'score': 0.5450703}, {'word': '##chai', 'entity': 'I-Therapeutic_procedure', 'score': 0.6896725}, {'word': '##nb', 'entity': 'I-Coreference', 'score': 0.5844374}, {'word': '##ase', 'entity': 'I-Coreference', 'score': 0.6343301}, {'word': '##d', 'entity': 'I-Therapeutic_procedure', 'score': 0.5490029}, {'word': 'applications', 'entity': 'I-Coreference', 'score': 0.8677574}, {'word': 'tel', 'entity': 'B-Therapeutic_procedure', 'score': 0.7280451}, {'word': '##eh', 'entity': 'I-Therapeutic_procedure', 'score': 0.55009174}, {'word': '##eal', 'entity': 'I-Coreference', 'score': 0.58887964}, {'word': '##th', 'entity': 'I-Therapeutic_procedure', 'score': 0.48739573}, {'word': 'platforms', 'entity': 'I-Coreference', 'score': 0.73775715}, {'word': 'block', 'entity': 'B-Detailed_description', 'score': 0.8182848}, {'word': '##chai', 'entity': 'I-Detailed_description', 'score': 0.99918073}, {'word': '##n', 'entity': 'I-Detailed_description', 'score': 0.99825937}, {'word': 'unique', 'entity': 'B-Detailed_description', 'score': 0.9962513}, {'word': 'distributed', 'entity': 'I-Detailed_description', 'score': 0.95175296}, {'word': 'architecture', 'entity': 'I-Detailed_description', 'score': 0.99598545}, {'word': 'trust', 'entity': 'B-Therapeutic_procedure', 'score': 0.3904519}, {'word': '##worthy', 'entity': 'I-Detailed_description', 'score': 0.91442335}, {'word': 'communication', 'entity': 'I-Detailed_description', 'score': 0.94156164}, {'word': 'system', 'entity': 'I-Coreference', 'score': 0.7075366}, {'word': 'block', 'entity': 'B-Detailed_description', 'score': 0.9955771}, {'word': '##chai', 'entity': 'I-Detailed_description', 'score': 0.99947697}, {'word': '##nen', 'entity': 'I-Detailed_description', 'score': 0.99897826}, {'word': '##able', 'entity': 'I-Detailed_description', 'score': 0.99954516}, {'word': '##d', 'entity': 'I-Detailed_description', 'score': 0.99939704}, {'word': 'tel', 'entity': 'B-Therapeutic_procedure', 'score': 0.41298714}, {'word': '##eh', 'entity': 'I-Therapeutic_procedure', 'score': 0.7225869}, {'word': '##eal', 'entity': 'I-Therapeutic_procedure', 'score': 0.60455775}, {'word': '##th', 'entity': 'I-Therapeutic_procedure', 'score': 0.49276277}, {'word': 'platforms', 'entity': 'I-Detailed_description', 'score': 0.9155461}]"
"xueping liang nabid alam tahmina sultana eranga bandara sachin shetty 
originally published in the journal of medical internet research 
httpswwwjmirorg","[{'word': 'xu', 'entity': 'B-Diagnostic_procedure', 'score': 0.64481574}, {'word': '##ep', 'entity': 'B-Diagnostic_procedure', 'score': 0.2501894}, {'word': '##ing', 'entity': 'B-Diagnostic_procedure', 'score': 0.12274245}, {'word': 'liang', 'entity': 'B-Diagnostic_procedure', 'score': 0.09464636}, {'word': 'alam', 'entity': 'B-Other_event', 'score': 0.11798382}, {'word': 'era', 'entity': 'B-Other_event', 'score': 0.08395554}, {'word': 'banda', 'entity': 'B-Medication', 'score': 0.14183423}, {'word': 'she', 'entity': 'B-Other_event', 'score': 0.10471297}, {'word': 'journal', 'entity': 'B-Detailed_description', 'score': 0.62811834}, {'word': 'medical', 'entity': 'I-Diagnostic_procedure', 'score': 0.97063744}, {'word': 'internet', 'entity': 'I-Diagnostic_procedure', 'score': 0.98072356}, {'word': 'research', 'entity': 'I-Diagnostic_procedure', 'score': 0.9860847}, {'word': 'https', 'entity': 'B-Detailed_description', 'score': 0.9925178}, {'word': '##w', 'entity': 'I-Detailed_description', 'score': 0.56997675}, {'word': '##w', 'entity': 'I-Detailed_description', 'score': 0.5121477}, {'word': '##w', 'entity': 'I-Detailed_description', 'score': 0.42411423}, {'word': '##jm', 'entity': 'B-Diagnostic_procedure', 'score': 0.86009824}, {'word': '##iro', 'entity': 'I-Detailed_description', 'score': 0.39071316}, {'word': '##rg', 'entity': 'I-Detailed_description', 'score': 0.30961373}]"
"doi 
pmid  indexed for medline","[{'word': 'doi', 'entity': 'B-Diagnostic_procedure', 'score': 0.3736174}]"
"jama netw open  sep e doi 
jamanetworkopen","[{'word': 'jam', 'entity': 'B-Detailed_description', 'score': 0.38290966}, {'word': 'jam', 'entity': 'B-Coreference', 'score': 0.38724586}, {'word': '##open', 'entity': 'B-Lab_value', 'score': 0.34312835}]"
sarscov nirmatrelvir resistancea concern for immunocompromised populations,"[{'word': 'sar', 'entity': 'B-Diagnostic_procedure', 'score': 0.77728206}, {'word': '##sco', 'entity': 'B-Medication', 'score': 0.21019045}, {'word': '##v', 'entity': 'I-Medication', 'score': 0.6208063}, {'word': 'ni', 'entity': 'B-Medication', 'score': 0.989795}, {'word': '##rma', 'entity': 'I-Medication', 'score': 0.82188934}, {'word': '##tre', 'entity': 'I-Medication', 'score': 0.7937685}, {'word': '##l', 'entity': 'I-Medication', 'score': 0.9915786}, {'word': '##vir', 'entity': 'I-Medication', 'score': 0.9861931}, {'word': 'resistance', 'entity': 'I-Medication', 'score': 0.786812}, {'word': 'im', 'entity': 'B-Disease_disorder', 'score': 0.99178445}, {'word': '##mun', 'entity': 'I-Disease_disorder', 'score': 0.7096619}, {'word': '##oco', 'entity': 'I-Disease_disorder', 'score': 0.97815895}, {'word': '##mp', 'entity': 'I-Disease_disorder', 'score': 0.9867115}, {'word': '##rom', 'entity': 'I-Disease_disorder', 'score': 0.9835265}, {'word': '##ised', 'entity': 'I-Disease_disorder', 'score': 0.98938096}, {'word': 'populations', 'entity': 'I-Disease_disorder', 'score': 0.9480924}]"
zhou z hong p,"[{'word': 'zhou', 'entity': 'B-Detailed_description', 'score': 0.8930106}, {'word': 'p', 'entity': 'B-Diagnostic_procedure', 'score': 0.36047322}]"
